0,0,27.4,120
0.39,26,27.3,120.39
2.38,74,27.4,122.38
6.2,134,27.5,206.2
7.15,188,25.9,377.15
25.68,465,23.9,395.68
30.47,626,28.7,460.47
32.82,603,29.8,472.82
25.92,542,29.3,485.92
2.74,111,28.5,381.74
0.52,96,24.2,370.52
0,168,25.8,300.62
0,112,31.1,245.17
0,54,30.1,220.59
0,11,28.8,200.16
0,0,26.8,200
0,0,26.9,170
0,0,26.9,150
0.03,0,23.3,110.03
1.28,57,23.3,131.28
6.88,170,24.3,116.88
10.25,409,27.1,180.25
21.37,530,28.4,331.37
36.61,786,29.5,386.61
39.78,883,30.7,429.78
41.26,928,31.5,441.26
40.08,917,31.8,451.08
29.9,851,31.9,458.9
25.35,735,31.9,455.35
9.64,576,31.5,389.64
1.37,386,31.2,311.37
0,138,30.2,253.25
0,11,29,200.31
0,0,28.3,190
0,0,28.1,170
0,0,28.1,140
0.02,0,26.7,110.02
1.02,81,26.6,121.02
5.7,257,27.3,145.7
12.14,461,28.5,202.14
21.47,641,29.6,401.47
37.09,785,30.6,467.09
37.84,882,31.2,507.84
40.65,927,31.7,470.65
40.93,916,32.1,510.93
29.92,850,32.3,488.92
25.09,733,32,455.09
9.25,574,31.4,419.25
2.38,383,31.5,312.38
0,127,30.6,242.01
0,10,29.7,200.12
0,0,28.9,180
0,0,28.6,140
0,0,28.4,120
0,0,26.7,130
1.1,74,25.6,191.1
5.66,255,26.1,165.66
13.64,459,27.7,253.64
20.86,640,29.2,410.86
35.55,783,30.8,515.55
38.69,881,32.1,568.69
40.24,925,32.5,540.24
40.22,914,32.9,570.22
29.11,848,33,538.11
24.32,731,32.9,514.32
7.47,572,32.7,497.47
1.12,359,32.5,441.12
0,176,31,272.75
0,18,30.4,220.38
0,0,29.7,210
0,0,28.9,150
0,0,27.9,150
0,0,27,120
1.24,63,26.7,141.24
5.79,253,27.2,335.79
13.25,458,28.5,433.25
21.04,638,29.9,471.04
26.15,782,30.9,506.15
29.41,880,31.7,489.41
30.99,924,32.1,480.99
30.73,913,32.3,430.73
28.66,847,32.4,388.66
24.88,730,32,354.88
19.1,570,31.6,339.1
12.01,378,31.5,262.01
4.24,164,30.5,184.24
0.29,15,29.3,160.29
0,0,28.6,180
0,0,28.4,140
0,0,28.1,140
0.01,0,26.4,120.01
1.18,48,26.4,391.18
5.18,164,26.6,395.18
8.44,350,28,418.44
7.31,376,28.8,447.31
19.56,781,30,519.56
10.63,724,29.1,550.63
1.03,599,29.1,561.03
10.52,752,30.6,550.52
0,845,30.6,560
1.34,558,28.4,561.34
9.7,303,29.3,459.7
11.09,245,28.5,391.09
4.33,93,27.9,224.33
0.3,9,28.1,200.3
0,0,27.3,190
0,0,27.2,140
0,0,26.3,150
0,0,26.4,110
1.07,47,26.3,131.07
3.91,120,26.8,333.91
13.3,269,27,403.3
16.71,375,27.5,476.71
16.66,415,29,536.66
24.66,877,30.1,558.66
0,922,31,590
5.22,910,31.6,614.22
18.74,843,29.6,562.74
0.3,726,31.1,570.3
2.58,499,31.2,502.58
0,286,30.5,336.03
0,101,30,201.14
0.16,8,29.2,180.16
0,0,28.5,150
0,0,28,120
0,0,27.8,120
0,0,26.1,140
0.7,46,26.3,120.7
1.64,70,26.4,121.64
3.03,268,26.7,183.03
10.35,485,27.7,340.35
33.59,732,28.2,493.59
34.93,876,29.9,454.93
32.5,651,30.7,472.5
32.5,802,27.4,472.5
30.69,497,27.1,467.69
12.15,512,29.2,442.15
0.56,432,31.3,370.56
0.23,370,30.8,310.23
0,138,30.4,235.22
0,15,29.5,200.43
0,0,28.8,180
0,0,28.4,170
0,0,27.8,140
0,0,26.8,130
2.32,36,26.7,152.32
7.7,216,27.2,187.7
8.41,372,27.7,248.41
17.97,521,27.6,387.97
26.71,549,28.8,426.71
34.55,670,29.2,484.55
29.9,596,29.2,439.9
26.21,642,27.6,396.21
8.2,742,28.4,347.2
8.59,384,28.6,338.59
0,163,29.6,305.01
